generated_at,ticker,recommendation,tactical_signal,investment_view,conviction_level,signal_score,adjusted_signal_score,confidence,model_quality_score,macro_regime,headline_count,confident_headline_count,top_positive_keywords,top_negative_keywords,drivers,risk_flags,source_breakdown,reasoning
2026-03-10T23:21:07.765749+00:00,ORCL,HOLD,HOLD,NEGATIVE,LOW,0.1669,-0.0531,0.9498,3.96,risk_off,240,215,"soar, boom, surge, rally, rallies","layoffs, job cuts, concerns, class action, pressure",Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 230, 'yahoo_finance': 10}","61 of 215 confident headlines classified positive, 75 negative, 79 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'goog' detected (historically negative avg CAR=-0.38%). Signal partially dampened by 75 negative headline(s) countering 61 positive one(s). Lexicon detected bullish signals: soar, boom, surge (lexicon score: -0.06). Lexicon detected bearish signals: layoffs, job cuts, concerns (lexicon score: -0.06). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.167."
2026-03-10T23:31:45.184477+00:00,SHW,HOLD,HOLD,NEGATIVE,MEDIUM,0.1655,0.0455,0.9363,3.96,risk_off,10,9,"earnings beat, dividend hike",lawsuit,Positive news sentiment (5/9 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"5 of 9 confident headlines classified positive, 3 negative, 1 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 3 negative headline(s) countering 5 positive one(s). Lexicon detected bullish signals: earnings beat, dividend hike (lexicon score: +0.07). Lexicon detected bearish signals: lawsuit (lexicon score: +0.07). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.165."
2026-03-10T23:23:49.064752+00:00,COF,HOLD,HOLD,NEGATIVE,LOW,0.162,0.042,0.9316,3.96,risk_off,80,67,,"layoffs, lawsuit, concerns, plummet, job losses",Positive news sentiment (17/67 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 70, 'yahoo_finance': 10}","17 of 67 confident headlines classified positive, 5 negative, 45 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 5 negative headline(s) countering 17 positive one(s). Lexicon detected bearish signals: layoffs, lawsuit, concerns (lexicon score: -0.03). Composite signal score: +0.162."
2026-03-10T23:28:52.452040+00:00,COP,HOLD,HOLD,NEGATIVE,MEDIUM,0.1264,0.1064,0.9293,3.96,risk_off,10,9,surge,"risks, dive, sell-off",Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"4 of 9 confident headlines classified positive, 5 negative, 0 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 5 negative headline(s) countering 4 positive one(s). Lexicon detected bullish signals: surge (lexicon score: -0.07). Lexicon detected bearish signals: risks, dive, sell-off (lexicon score: -0.07). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.126."
2026-03-10T23:29:01.230186+00:00,PSX,HOLD,HOLD,NEGATIVE,MEDIUM,0.0784,0.0584,0.9159,3.96,risk_off,10,9,"dividend hike, upgrades, outperforming",volatile,Positive news sentiment (4/9 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"4 of 9 confident headlines classified positive, 2 negative, 3 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 2 negative headline(s) countering 4 positive one(s). Lexicon detected bullish signals: dividend hike, upgrades, outperforming (lexicon score: +0.09). Lexicon detected bearish signals: volatile (lexicon score: +0.09). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.078."
2026-03-10T23:28:37.084997+00:00,XOM,HOLD,HOLD,NEGATIVE,LOW,0.0741,0.0541,0.9401,3.96,risk_off,202,173,"rally, surged, soar, boom, approved","lawsuit, risks, dive, job losses",Positive news sentiment (74/173 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 192, 'yahoo_finance': 10}","74 of 173 confident headlines classified positive, 20 negative, 79 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 20 negative headline(s) countering 74 positive one(s). Lexicon detected bullish signals: rally, surged, soar (lexicon score: +0.01). Lexicon detected bearish signals: lawsuit, risks, dive (lexicon score: +0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.074."
2026-03-10T23:24:04.594349+00:00,PRU,HOLD,HOLD,NEGATIVE,LOW,0.0684,-0.0516,0.945,3.96,risk_off,251,231,"ipo, jump, jumps, profit rises, share buyback","risks, underweight, downgrades, fraud, declines","Positive news sentiment (86/231 confident headlines) | Bullish lexicon signals: ipo, jump | Macro regime (risk_off): -0.12",safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 241, 'yahoo_finance': 10}","86 of 231 confident headlines classified positive, 29 negative, 116 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'programme' detected (historically negative avg CAR=-0.56%). Signal partially dampened by 29 negative headline(s) countering 86 positive one(s). Lexicon detected bullish signals: ipo, jump, jumps (lexicon score: +0.13). Lexicon detected bearish signals: risks, underweight, downgrades (lexicon score: +0.13). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.068."
2026-03-10T23:23:33.707909+00:00,BLK,HOLD,HOLD,NEGATIVE,LOW,0.0628,-0.1572,0.9443,3.96,risk_off,164,134,"jumps, milestone, blowout earnings, rally, revenue growth","class action, concerns, lawsuit, worry, warns",Positive news sentiment (44/134 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 154, 'yahoo_finance': 10}","44 of 134 confident headlines classified positive, 16 negative, 74 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 16 negative headline(s) countering 44 positive one(s). Lexicon detected bullish signals: jumps, milestone, blowout earnings (lexicon score: -0.01). Lexicon detected bearish signals: class action, concerns, lawsuit (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.063."
2026-03-10T23:30:30.208814+00:00,EMR,HOLD,HOLD,NEGATIVE,LOW,0.0342,-0.0858,0.9427,3.96,risk_off,193,166,"surge, price target raised, milestone, upgraded, earnings beat","risks, pressure, fears, uncertainty, avoid",Positive news sentiment (70/166 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 183, 'yahoo_finance': 10}","70 of 166 confident headlines classified positive, 18 negative, 78 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 18 negative headline(s) countering 70 positive one(s). Lexicon detected bullish signals: surge, price target raised, milestone (lexicon score: +0.02). Lexicon detected bearish signals: risks, pressure, fears (lexicon score: +0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.034."
2026-03-10T23:21:59.026175+00:00,IBM,HOLD,HOLD,NEGATIVE,LOW,0.0134,-0.1066,0.9482,3.96,risk_off,218,206,"upgrades, soars, jumps, surges, outperforming","crash, selloff, concerns, dive, layoffs",Positive news sentiment (88/206 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 208, 'yahoo_finance': 10}","88 of 206 confident headlines classified positive, 28 negative, 90 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 28 negative headline(s) countering 88 positive one(s). Lexicon detected bullish signals: upgrades, soars, jumps (lexicon score: +0.02). Lexicon detected bearish signals: crash, selloff, concerns (lexicon score: +0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.013."
2026-03-10T23:22:46.301458+00:00,JPM,HOLD,HOLD,NEGATIVE,LOW,0.0017,-0.2183,0.953,3.96,risk_off,296,261,"jump, upgraded, doubles down, boom, raised its dividend","lawsuit, warns, concerns, fears, cuts pt",Positive news sentiment (57/261 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 203, 'sec_edgar': 54, 'yahoo_finance': 20, 'fnspid': 14, 'nyt': 3, 'economic_times': 1, 'guardian': 1}","57 of 261 confident headlines classified positive, 50 negative, 154 neutral (overall sentiment: positive). Highest-credibility source: sec_edgar (weight=1.0). Keyword 'programme' detected (historically negative avg CAR=-0.56%). Signal partially dampened by 50 negative headline(s) countering 57 positive one(s). Lexicon detected bullish signals: jump, upgraded, doubles down (lexicon score: -0.00). Lexicon detected bearish signals: lawsuit, warns, concerns (lexicon score: -0.00). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.002."
2026-03-10T23:26:04.517493+00:00,KO,HOLD,HOLD,NEGATIVE,MEDIUM,-0.0423,-0.1623,0.9787,3.96,risk_off,10,9,"dividend hike, revenue growth",headwinds,Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"2 of 9 confident headlines classified positive, 2 negative, 5 neutral (overall sentiment: mixed). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 2 negative headline(s) countering 2 positive one(s). Lexicon detected bullish signals: dividend hike, revenue growth (lexicon score: +0.07). Lexicon detected bearish signals: headwinds (lexicon score: +0.07). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.042."
2026-03-10T23:23:13.704232+00:00,WFC,HOLD,HOLD,NEGATIVE,LOW,-0.0443,-0.2643,0.9539,3.96,risk_off,243,214,"upgrades, target on, overweight, beats estimates, climbs","fraud, downgrades, disappoints, warns, underweight",Positive news sentiment (60/214 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 233, 'yahoo_finance': 10}","60 of 214 confident headlines classified positive, 52 negative, 102 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 52 negative headline(s) countering 60 positive one(s). Lexicon detected bullish signals: upgrades, target on, overweight (lexicon score: -0.02). Lexicon detected bearish signals: fraud, downgrades, disappoints (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.044."
2026-03-10T23:27:05.202561+00:00,HD,HOLD,HOLD,NEGATIVE,LOW,-0.0585,-0.2785,0.9444,3.96,risk_off,223,209,"beat, price target raised, dividend hike, upgrade, reiterates buy","warning, headwinds, concerns, fraud, warns",Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | Inflation Pressure — Brent crude supply disruption | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 213, 'yahoo_finance': 10}","51 of 209 confident headlines classified positive, 76 negative, 82 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'item' detected (historically negative avg CAR=-0.30%). Signal partially dampened by 76 negative headline(s) countering 51 positive one(s). Lexicon detected bullish signals: beat, price target raised, dividend hike (lexicon score: -0.01). Lexicon detected bearish signals: warning, headwinds, concerns (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.059."
2026-03-10T23:33:19.612637+00:00,DUK,HOLD,HOLD,NEGATIVE,LOW,-0.059,-0.079,0.9444,3.96,risk_off,245,222,"rally, price target raised, expands, upgrades","warns, downgrades, crashes, concerns, plummet",Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 235, 'yahoo_finance': 10}","56 of 222 confident headlines classified positive, 79 negative, 87 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 79 negative headline(s) countering 56 positive one(s). Lexicon detected bullish signals: rally, price target raised, expands (lexicon score: -0.02). Lexicon detected bearish signals: warns, downgrades, crashes (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.059."
2026-03-10T23:24:49.875313+00:00,PFE,HOLD,HOLD,NEGATIVE,LOW,-0.0625,-0.0825,0.9387,3.96,risk_off,178,163,"fda approval, strong earnings, outperform rating","dropped, headwinds, avoid, warns, crash",Positive news sentiment (66/163 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 168, 'yahoo_finance': 10}","66 of 163 confident headlines classified positive, 35 negative, 62 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'item' detected (historically negative avg CAR=-0.30%). Signal partially dampened by 35 negative headline(s) countering 66 positive one(s). Lexicon detected bullish signals: fda approval, strong earnings, outperform rating (lexicon score: -0.02). Lexicon detected bearish signals: dropped, headwinds, avoid (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.062."
2026-03-10T23:28:59.713839+00:00,EOG,HOLD,HOLD,NEGATIVE,LOW,-0.0683,-0.0883,0.9554,3.96,risk_off,129,121,"boom, surge, rally, price target raised, earnings beat","downgraded, price target cut, plunge, headwinds, volatile",Positive news sentiment (54/121 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 119, 'yahoo_finance': 10}","54 of 121 confident headlines classified positive, 24 negative, 43 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'upgraded' detected (historically positive avg CAR=+0.38%). Signal partially dampened by 24 negative headline(s) countering 54 positive one(s). Lexicon detected bullish signals: boom, surge, rally (lexicon score: +0.04). Lexicon detected bearish signals: downgraded, price target cut, plunge (lexicon score: +0.04). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.068."
2026-03-10T23:32:01.244214+00:00,APD,HOLD,HOLD,NEGATIVE,LOW,-0.1023,-0.3223,0.9211,3.96,risk_off,230,187,"profit rises, revolutionary, rallies, buy rating","drops, risks, warning, at risk, headwinds",Positive news sentiment (54/187 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Inflation Pressure — Brent crude supply disruption | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 220, 'yahoo_finance': 10}","54 of 187 confident headlines classified positive, 17 negative, 116 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 17 negative headline(s) countering 54 positive one(s). Lexicon detected bullish signals: profit rises, revolutionary, rallies (lexicon score: -0.00). Lexicon detected bearish signals: drops, risks, warning (lexicon score: -0.00). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.102."
2026-03-10T23:25:51.711597+00:00,CVS,HOLD,HOLD,NEGATIVE,MEDIUM,-0.1159,-0.2359,0.976,3.96,risk_off,10,9,goog,lawsuit,Positive news sentiment (4/9 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"4 of 9 confident headlines classified positive, 3 negative, 2 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'goog' detected (historically negative avg CAR=-0.38%). Signal partially dampened by 3 negative headline(s) countering 4 positive one(s). Lexicon detected bearish signals: lawsuit (lexicon score: -0.04). Composite signal score: -0.116."
2026-03-10T23:23:50.352025+00:00,MET,HOLD,HOLD,NEGATIVE,MEDIUM,-0.1206,-0.2406,0.9568,3.96,risk_off,10,10,"surge, earnings beat",cuts pt,Positive news sentiment (6/10 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"6 of 10 confident headlines classified positive, 2 negative, 2 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 2 negative headline(s) countering 6 positive one(s). Lexicon detected bullish signals: surge, earnings beat (lexicon score: +0.05). Lexicon detected bearish signals: cuts pt (lexicon score: +0.05). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.121."
2026-03-10T23:30:52.195961+00:00,NFLX,HOLD,HOLD,NEGATIVE,LOW,-0.1255,-0.2455,0.9485,3.96,risk_off,231,206,"surges, record earnings, beat, blockbuster, regulatory approval","dive, worries, cuts pt, drops, fears",Positive news sentiment (58/206 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 221, 'yahoo_finance': 10}","58 of 206 confident headlines classified positive, 43 negative, 105 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'goog' detected (historically negative avg CAR=-0.38%). Signal partially dampened by 43 negative headline(s) countering 58 positive one(s). Lexicon detected bullish signals: surges, record earnings, beat (lexicon score: -0.01). Lexicon detected bearish signals: dive, worries, cuts pt (lexicon score: -0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.126."
2026-03-10T23:31:21.776782+00:00,CHTR,HOLD,HOLD,NEGATIVE,LOW,-0.128,-0.248,0.9448,3.96,risk_off,238,212,"soars, expands, ipo, upgrades, climbs","crash, threatens, price target reduced, revenue decline, lawsuit",Positive news sentiment (52/212 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 228, 'yahoo_finance': 10}","52 of 212 confident headlines classified positive, 47 negative, 113 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'programme' detected (historically negative avg CAR=-0.56%). Signal partially dampened by 47 negative headline(s) countering 52 positive one(s). Lexicon detected bullish signals: soars, expands, ipo (lexicon score: -0.02). Lexicon detected bearish signals: crash, threatens, price target reduced (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.128."
2026-03-10T23:22:49.788891+00:00,BAC,HOLD,HOLD,NEGATIVE,MEDIUM,-0.1526,-0.3726,0.969,3.96,risk_off,65,63,"buy rating, soars, price target raised, rally, beats","cuts pt, drops, pressure, weak guidance, sec investigation",Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'sec_edgar': 26, 'yahoo_finance': 18, 'fnspid': 15, 'nyt': 6}","15 of 63 confident headlines classified positive, 15 negative, 33 neutral (overall sentiment: mixed). Highest-credibility source: sec_edgar (weight=1.0). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 15 negative headline(s) countering 15 positive one(s). Lexicon detected bullish signals: buy rating, soars, price target raised (lexicon score: +0.01). Lexicon detected bearish signals: cuts pt, drops, pressure (lexicon score: +0.01). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: -0.153."
